Max Weight Clique - MonteCarloProb Algorithm

Vertices                      Edges_Prob.                   Max_Weight                    Ops._Count                    Tested_Solutions              Search_Time
83                            0.5                           141                           15193                         12182                         3.001113176345825
83                            0.75                          138                           14091                         8358                          3.0011298656463623
84                            0.125                         124                           15248                         42820                         3.0028302669525146
84                            0.25                          138                           15209                         22664                         3.001596212387085
84                            0.5                           140                           14456                         11725                         3.0010082721710205
84                            0.75                          140                           13731                         8340                          3.001180648803711
85                            0.125                         131                           14530                         40437                         3.002849817276001
85                            0.25                          134                           14807                         22106                         3.0014119148254395
85                            0.5                           140                           13783                         11410                         3.001007318496704
85                            0.75                          146                           13353                         8177                          3.0011608600616455
86                            0.125                         131                           14426                         41246                         3.002892017364502
86                            0.25                          138                           14325                         21716                         3.0012943744659424
86                            0.5                           145                           13553                         11276                         3.000951051712036
86                            0.75                          146                           13054                         8057                          3.0011138916015625
87                            0.125                         132                           13837                         40346                         3.002770185470581
87                            0.25                          141                           13980                         21466                         3.0015482902526855
87                            0.5                           145                           13389                         11381                         3.000837564468384
87                            0.75                          145                           12743                         8001                          3.0011191368103027
88                            0.125                         128                           14157                         40481                         3.0029327869415283
88                            0.25                          145                           13926                         21144                         3.001556873321533
88                            0.5                           140                           13384                         11219                         3.001072406768799
88                            0.75                          144                           12222                         7829                          3.0012309551239014
